event_type,template,arg1,arg2,arg3,arg4,arg5
justice.arrestjaildetain.arrestjaildetain,Jailer arrested or jailed <arg2> for crime at place,,evt079arg02detainee,,,
justice.arrestjaildetain.arrestjaildetain,Jailer arrested or jailed detainee for <arg3> crime at place,,,evt079arg03crime,,
justice.arrestjaildetain.arrestjaildetain,Jailer arrested or jailed detainee for crime at <arg4> place,,,,evt079arg04place,
justice.initiatejudicialprocess.unspecified,<arg1> initiated judicial process pertaining to defendant before court or judge for crime in place,evt080arg01prosecutor,,,,
justice.initiatejudicialprocess.unspecified,Prosecutor initiated judicial process pertaining to <arg2> before court or judge for crime in place,,evt080arg02defendant,,,
justice.initiatejudicialprocess.unspecified,Prosecutor initiated judicial process pertaining to defendant before <arg3> court or judge for crime in place,,,evt080arg03judgecourt,,
justice.initiatejudicialprocess.unspecified,Prosecutor initiated judicial process pertaining to defendant before court or judge for <arg4> crime in place,,,,evt080arg04crime,
justice.initiatejudicialprocess.unspecified,Prosecutor initiated judicial process pertaining to defendant before court or judge for crime in <arg5> place,,,,,evt080arg05place
justice.initiatejudicialprocess.chargeindict,<arg1> charged or indicted defendant before court or judge for crime in place,evt081arg01prosecutor,,,,
justice.initiatejudicialprocess.chargeindict,Prosecutor charged or indicted <arg2> before court or judge for crime in place,,evt081arg02defendant,,,
justice.initiatejudicialprocess.chargeindict,Prosecutor charged or indicted defendant before <arg3> court or judge for crime in place,,,evt081arg03judgecourt,,
justice.initiatejudicialprocess.chargeindict,Prosecutor charged or indicted defendant before court or judge for <arg4> crime in place,,,,evt081arg04crime,
justice.initiatejudicialprocess.chargeindict,Prosecutor charged or indicted defendant before court or judge for crime in <arg5> place,,,,,evt081arg05place
justice.initiatejudicialprocess.trialhearing,<arg1> tried defendant before court or judge for crime in place,evt082arg01prosecutor,,,,
justice.initiatejudicialprocess.trialhearing,Prosecutor tried <arg2> before court or judge for crime in place,,evt082arg02defendant,,,
justice.initiatejudicialprocess.trialhearing,Prosecutor tried defendant before <arg3> court or judge for crime in place,,,evt082arg03judgecourt,,
justice.initiatejudicialprocess.trialhearing,Prosecutor tried defendant before court or judge for <arg4> crime in place,,,,evt082arg04crime,
justice.initiatejudicialprocess.trialhearing,Prosecutor tried defendant before court or judge for crime in <arg5> place,,,,,evt082arg05place
justice.investigate.unspecified,<arg1> investigated defendant in place,evt083arg01investigator,,,,
justice.investigate.unspecified,Investigator investigated <arg2> in place,,evt083arg02defendant,,,
justice.investigate.unspecified,Investigator investigated defendant in <arg3> place,,,evt083arg03place,,
justice.investigate.investigatecrime,<arg1> investigated defendant for crime in place,evt084arg01investigator,,,,
justice.investigate.investigatecrime,Investigator investigated <arg2> for crime in place,,evt084arg02defendant,,,
justice.investigate.investigatecrime,Investigator investigated defendant for <arg3> crime in place,,,evt084arg03crime,,
justice.investigate.investigatecrime,Investigator investigated defendant for crime in <arg4> place,,,,evt084arg04place,
justice.judicialconsequences.unspecified,<arg1> court or judge decided consequences of crime committed by defendant in place,evt085arg01judgecourt,,,,
justice.judicialconsequences.unspecified,Court or judge decided consequences of crime committed by <arg2> in place,,evt085arg02defendant,,,
justice.judicialconsequences.unspecified,Court or judge decided consequences of <arg3> crime committed by defendant in place,,,evt085arg03crime,,
justice.judicialconsequences.unspecified,Court or judge decided consequences of crime committed by defendant in <arg4> place,,,,evt085arg04place,
justice.judicialconsequences.convict,<arg1> court or judge convicted defendant of crime in place,evt086arg01judgecourt,,,,
justice.judicialconsequences.convict,Court or judge convicted <arg2> of crime in place,,evt086arg02defendant,,,
justice.judicialconsequences.convict,Court or judge convicted defendant of <arg3> crime in place,,,evt086arg03crime,,
justice.judicialconsequences.convict,Court or judge convicted defendant of crime in <arg4> place,,,,evt086arg04place,
justice.judicialconsequences.execute,<arg1> executed defendant for crime in place,evt087arg01executioner,,,,
justice.judicialconsequences.execute,Executioner executed <arg2> for crime in place,,evt087arg02defendant,,,
justice.judicialconsequences.execute,Executioner executed defendant for <arg3> crime in place,,,evt087arg03crime,,
justice.judicialconsequences.execute,Executioner executed defendant for crime in <arg4> place,,,,evt087arg04place,
justice.judicialconsequences.extradite,<arg1> extradited defendant for crime from place to place,evt088arg01extraditer,,,,
justice.judicialconsequences.extradite,Extraditer extradited <arg2> for crime from place to place,,evt088arg02defendant,,,
justice.judicialconsequences.extradite,Extraditer extradited defendant for <arg3> crime from place to place,,,evt088arg03crime,,
justice.judicialconsequences.extradite,Extraditer extradited defendant for crime from <arg4> place to place,,,,evt088arg04origin,
justice.judicialconsequences.extradite,Extraditer extradited defendant for crime from place to <arg5> place,,,,,evt088arg05destination
life.die.unspecified,<arg1> died at place from medical issue killed by killer,evt089arg01victim,,,,
life.die.unspecified,Victim died at <arg2> place from medical issue killed by killer,,evt089arg02place,,,
life.die.unspecified,Victim died at place from medical issue killed by <arg3> killer,,,evt089arg03killer,,
life.die.unspecified,Victim died at place from <arg4> medical issue killed by killer,,,,evt089arg04medicalissue,
life.die.deathcausedbyviolentevents,<arg1> killed victim using instrument or medical issue at place,evt090arg01killer,,,,
life.die.deathcausedbyviolentevents,Killer killed <arg2> using instrument or medical issue at place,,evt090arg02victim,,,
life.die.deathcausedbyviolentevents,Killer killed victim using <arg3> instrument or medical issue at place,,,evt090arg03instrument,,
life.die.deathcausedbyviolentevents,Killer killed victim using instrument or medical issue at <arg4> place,,,,evt090arg04place,
life.die.deathcausedbyviolentevents,Killer killed victim using instrument or <arg5> medical issue at place,,,,,evt090arg05medicalissue
life.die.nonviolentdeath,<arg1> died at place from medical issue killed by killer,evt091arg01victim,,,,
life.die.nonviolentdeath,Victim died at <arg2> place from medical issue killed by killer,,evt091arg02place,,,
life.die.nonviolentdeath,Victim died at place from medical issue killed by <arg3> killer,,,evt091arg03killer,,
life.die.nonviolentdeath,Victim died at place from <arg4> medical issue killed by killer,,,,evt091arg04medicalissue,
life.injure.unspecified,<arg1> was injured by injurer with medical issue at place,evt092arg01victim,,,,
life.injure.unspecified,Victim was injured by <arg2> with medical issue at place,,evt092arg02injurer,,,
life.injure.unspecified,Victim was injured by injurer with medical issue at <arg3> place,,,evt092arg03place,,
life.injure.unspecified,Victim was injured by injurer with <arg4> medical issue at place,,,,evt092arg04medicalissue,
life.injure.illnessdegradationhungerthirst,<arg1> has extreme hunger or thirst from medical issue imposed by injurer at place,evt093arg01victim,,,,
life.injure.illnessdegradationhungerthirst,Victim has extreme hunger or thirst from medical issue imposed by injurer at <arg2> place,,evt093arg02place,,,
life.injure.illnessdegradationhungerthirst,Victim has extreme hunger or thirst from medical issue imposed by <arg3> injurer at place,,,evt093arg03injurer,,
life.injure.illnessdegradationhungerthirst,Victim has extreme hunger or thirst from <arg4> medical issue imposed by injurer at place,,,,evt093arg04medicalissue,
life.injure.illnessdegradationphysical,<arg1> person has some physical degradation from medical issue imposed by injurer at place,evt094arg01victim,,,,
life.injure.illnessdegradationphysical,Victim person has some physical degradation from medical issue imposed by injurer at <arg2> place,,evt094arg02place,,,
life.injure.illnessdegradationphysical,Victim person has some physical degradation from medical issue imposed by <arg3> injurer at place,,,evt094arg03injurer,,
life.injure.illnessdegradationphysical,Victim person has some physical degradation from <arg4> medical issue imposed by injurer at place,,,,evt094arg04medicalissue,
life.injure.illnessdegredationsickness,<arg1> has sickness or illness at place deliberately infected by injurer ,evt150arg01victim ,,,,
life.injure.illnessdegredationsickness,Victim has sickness or illness at place deliberately infected by <arg2>,,evt150arg02injurer ,,,
life.injure.illnessdegredationsickness,Victim has <arg3> sickness or illness at place deliberately infected by injurer ,,,evt150arg03disease ,,
life.injure.illnessdegredationsickness,Victim has sickness or illness at <arg4> place deliberately infected by injurer ,,,,evt150arg04place ,
life.injure.injurycausedbyviolentevents,<arg1> injured victim using instrument or medical issue at place,evt095arg01injurer,,,,
life.injure.injurycausedbyviolentevents,Injurer injured <arg2> using instrument or medical issue at place,,evt095arg02victim,,,
life.injure.injurycausedbyviolentevents,Injurer injured victim using <arg3> instrument or medical issue at place,,,evt095arg03instrument,,
life.injure.injurycausedbyviolentevents,Injurer injured victim using instrument or medical issue at <arg4> place,,,,evt095arg04place,
life.injure.injurycausedbyviolentevents,Injurer injured victim using instrument or <arg5> medical issue at place,,,,,evt095arg05medicalissue
manufacture.artifact.unspecified,<arg1> manufactured or created or produced artifact using instrument at place,evt096arg01manufacturer,,,,
manufacture.artifact.unspecified,Manufacturer manufactured or created or produced <arg2> using instrument at place,,evt096arg02artifact,,,
manufacture.artifact.unspecified,Manufacturer manufactured or created or produced artifact using <arg3> at place,,,evt096arg03instrument,,
manufacture.artifact.unspecified,Manufacturer manufactured or created or produced artifact using instrument at <arg4> place,,,,evt096arg04place,
manufacture.artifact.build,<arg1> manufactured or created or produced artifact using instrument at place,evt097arg01manufacturer,,,,
manufacture.artifact.build,Manufacturer manufactured or created or produced <arg2> using instrument at place,,evt097arg02artifact,,,
manufacture.artifact.build,Manufacturer manufactured or created or produced artifact using <arg3> at place,,,evt097arg03instrument,,
manufacture.artifact.build,Manufacturer manufactured or created or produced artifact using instrument at <arg4> place,,,,evt097arg04place,
manufacture.artifact.createintellectualproperty,<arg1> manufactured or created or produced artifact using instrument at place,evt098arg01manufacturer,,,,
manufacture.artifact.createintellectualproperty,Manufacturer manufactured or created or produced <arg2> using instrument at place,,evt098arg02artifact,,,
manufacture.artifact.createintellectualproperty,Manufacturer manufactured or created or produced artifact using <arg3> at place,,,evt098arg03instrument,,
manufacture.artifact.createintellectualproperty,Manufacturer manufactured or created or produced artifact using instrument at <arg4> place,,,,evt098arg04place,
manufacture.artifact.createmanufacture,<arg1> manufactured or created or produced artifact using instrument at place,evt099arg01manufacturer,,,,
manufacture.artifact.createmanufacture,Manufacturer manufactured or created or produced <arg2> using instrument at place,,evt099arg02artifact,,,
manufacture.artifact.createmanufacture,Manufacturer manufactured or created or produced artifact using <arg3> at place,,,evt099arg03instrument,,
manufacture.artifact.createmanufacture,Manufacturer manufactured or created or produced artifact using instrument at <arg4> place,,,,evt099arg04place,
medical.intervention.intervention,<arg1> treater treated patient for medical issue with means at place,evt147arg01treater ,,,,
medical.intervention.intervention,Treater treated <arg2> patient for medical issue with means at place,,evt147arg02patient ,,,
medical.intervention.intervention,Treater treated patient for <arg3> medical issue with means at place,,,evt147arg03medicalissue ,,
medical.intervention.intervention,Treater treated patient for medical issue with <arg4> means at place,,,,evt147arg04instrument ,
medical.intervention.intervention,Treater treated patient for medical issue with means at <arg5> place,,,,,evt147arg05place 
movement.transportartifact.unspecified,<arg1> transported artifact in vehicle from place to place,evt100arg01transporter,,,,
movement.transportartifact.unspecified,Transporter transported <arg2> in vehicle from place to place,,evt100arg02artifact,,,
movement.transportartifact.unspecified,Transporter transported artifact in <arg3> from place to place,,,evt100arg03vehicle,,
movement.transportartifact.unspecified,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt100arg04origin,
movement.transportartifact.unspecified,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt100arg05destination
movement.transportartifact.bringcarryunload,<arg1> transported artifact in vehicle from place to place,evt101arg01transporter,,,,
movement.transportartifact.bringcarryunload,Transporter transported <arg2> in vehicle from place to place,,evt101arg02artifact,,,
movement.transportartifact.bringcarryunload,Transporter transported artifact in <arg3> from place to place,,,evt101arg03vehicle,,
movement.transportartifact.bringcarryunload,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt101arg04origin,
movement.transportartifact.bringcarryunload,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt101arg05destination
movement.transportartifact.disperseseparate,<arg1> transported artifact in vehicle from place to place,evt102arg01transporter,,,,
movement.transportartifact.disperseseparate,Transporter transported <arg2> in vehicle from place to place,,evt102arg02artifact,,,
movement.transportartifact.disperseseparate,Transporter transported artifact in <arg3> from place to place,,,evt102arg03vehicle,,
movement.transportartifact.disperseseparate,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt102arg04origin,
movement.transportartifact.disperseseparate,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt102arg05destination
movement.transportartifact.fall,<arg1> fell from place to place,evt103arg01artifact,,,,
movement.transportartifact.fall,Artifact fell from <arg2> place to place,,evt103arg02origin,,,
movement.transportartifact.fall,Artifact fell from place to <arg3> place,,,evt103arg03destination,,
movement.transportartifact.grantentry,<arg1> grants artifact entry to place from place,evt104arg01transporter,,,,
movement.transportartifact.grantentry,Transporter grants <arg2> entry to place from place,,evt104arg02artifact,,,
movement.transportartifact.grantentry,Transporter grants artifact entry to <arg3> place from place,,,evt104arg03origin,,
movement.transportartifact.grantentry,Transporter grants artifact entry to place from <arg4> place,,,,evt104arg04destination,
movement.transportartifact.hide,<arg1> concealed  artifact in place transported in vehicle from place,evt105arg01transporter,,,,
movement.transportartifact.hide,Transporter concealed <arg2> in place transported in vehicle from place,,evt105arg02artifact,,,
movement.transportartifact.hide,Transporter concealed artifact in <arg3> place transported in vehicle from place,,,evt105arg03hidingplace,,
movement.transportartifact.hide,Transporter concealed artifact in place transported in <arg4> vehicle from place,,,,evt105arg04vehicle,
movement.transportartifact.hide,Transporter concealed artifact in place transported in vehicle from <arg5> place,,,,,evt105arg05origin
movement.transportartifact.lossofcontrol,<arg1> lost control of moving something at place,evt146arg01controller ,,,,
movement.transportartifact.lossofcontrol,Controller lost control of moving <arg2> at place,,evt146arg02controlledthing ,,,
movement.transportartifact.lossofcontrol,Controller lost control of moving something at <arg3> place,,,evt146arg03place ,,
movement.transportartifact.nonviolentthrowlaunch,<arg1> transported artifact in vehicle from place to place,evt106arg01transporter,,,,
movement.transportartifact.nonviolentthrowlaunch,Transporter transported <arg2> in vehicle from place to place,,evt106arg02artifact,,,
movement.transportartifact.nonviolentthrowlaunch,Transporter transported artifact in <arg3> from place to place,,,evt106arg03vehicle,,
movement.transportartifact.nonviolentthrowlaunch,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt106arg04origin,
movement.transportartifact.nonviolentthrowlaunch,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt106arg05destination
movement.transportartifact.prevententry,<arg1> prevents transporter from transporting artifact from place to place,evt107arg01preventer,,,,
movement.transportartifact.prevententry,Preventer prevents <arg2> from transporting artifact from place to place,,evt107arg02transporter,,,
movement.transportartifact.prevententry,Preventer prevents transporter from transporting <arg3> from place to place,,,evt107arg03artifact,,
movement.transportartifact.prevententry,Preventer prevents transporter from transporting artifact from <arg4> place to place,,,,evt107arg04origin,
movement.transportartifact.prevententry,Preventer prevents transporter from transporting artifact from place to <arg5> place,,,,,evt107arg05destination
movement.transportartifact.preventexit,<arg1> prevents transporter from transporting artifact from place to place,evt108arg01preventer,,,,
movement.transportartifact.preventexit,Preventer prevents <arg2> from transporting artifact from place to place,,evt108arg02transporter,,,
movement.transportartifact.preventexit,Preventer prevents transporter from transporting <arg3> from place to place,,,evt108arg03artifact,,
movement.transportartifact.preventexit,Preventer prevents transporter from transporting artifact from <arg4> place to place,,,,evt108arg04origin,
movement.transportartifact.preventexit,Preventer prevents transporter from transporting artifact from place to <arg5> place,,,,,evt108arg05destination
movement.transportartifact.receiveimport,<arg1> transported artifact in vehicle from place to place,evt109arg01transporter,,,,
movement.transportartifact.receiveimport,Transporter transported <arg2> in vehicle from place to place,,evt109arg02artifact,,,
movement.transportartifact.receiveimport,Transporter transported artifact in <arg3> from place to place,,,evt109arg03vehicle,,
movement.transportartifact.receiveimport,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt109arg04origin,
movement.transportartifact.receiveimport,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt109arg05destination
movement.transportartifact.sendsupplyexport,<arg1> transported artifact in vehicle from place to place,evt110arg01transporter,,,,
movement.transportartifact.sendsupplyexport,Transporter transported <arg2> in vehicle from place to place,,evt110arg02artifact,,,
movement.transportartifact.sendsupplyexport,Transporter transported artifact in <arg3> from place to place,,,evt110arg03vehicle,,
movement.transportartifact.sendsupplyexport,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt110arg04origin,
movement.transportartifact.sendsupplyexport,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt110arg05destination
movement.transportartifact.smuggleextract,<arg1> transported artifact in vehicle from place to place,evt111arg01transporter,,,,
movement.transportartifact.smuggleextract,Transporter transported <arg2> in vehicle from place to place,,evt111arg02artifact,,,
movement.transportartifact.smuggleextract,Transporter transported artifact in <arg3> from place to place,,,evt111arg03vehicle,,
movement.transportartifact.smuggleextract,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt111arg04origin,
movement.transportartifact.smuggleextract,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt111arg05destination
movement.transportperson.unspecified,<arg1> transported artifact in vehicle from place to place,evt112arg01transporter,,,,
movement.transportperson.unspecified,Transporter transported <arg2> in vehicle from place to place,,evt112arg02passenger,,,
movement.transportperson.unspecified,Transporter transported artifact in <arg3> from place to place,,,evt112arg03vehicle,,
movement.transportperson.unspecified,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt112arg04origin,
movement.transportperson.unspecified,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt112arg05destination
movement.transportperson.bringcarryunload,<arg1> transported artifact in vehicle from place to place,evt113arg01transporter,,,,
movement.transportperson.bringcarryunload,Transporter transported <arg2> in vehicle from place to place,,evt113arg02passenger,,,
movement.transportperson.bringcarryunload,Transporter transported artifact in <arg3> from place to place,,,evt113arg03vehicle,,
movement.transportperson.bringcarryunload,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt113arg04origin,
movement.transportperson.bringcarryunload,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt113arg05destination
movement.transportperson.disperseseparate,<arg1> transported artifact in vehicle from place to place,evt114arg01transporter,,,,
movement.transportperson.disperseseparate,Transporter transported <arg2> in vehicle from place to place,,evt114arg02passenger,,,
movement.transportperson.disperseseparate,Transporter transported artifact in <arg3> from place to place,,,evt114arg03vehicle,,
movement.transportperson.disperseseparate,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt114arg04origin,
movement.transportperson.disperseseparate,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt114arg05destination
movement.transportperson.evacuationrescue,<arg1> transported artifact in vehicle from place to place,evt115arg01transporter,,,,
movement.transportperson.evacuationrescue,Transporter transported <arg2> in vehicle from place to place,,evt115arg02passenger,,,
movement.transportperson.evacuationrescue,Transporter transported artifact in <arg3> from place to place,,,evt115arg03vehicle,,
movement.transportperson.evacuationrescue,Transporter transported artifact in vehicle from <arg4> place to place,,,,evt115arg04origin,
movement.transportperson.evacuationrescue,Transporter transported artifact in vehicle from place to <arg5> place,,,,,evt115arg05destination
movement.transportperson.fall,<arg1> fell from place to place,evt116arg01passenger,,,,
movement.transportperson.fall,Artifact fell from <arg2> place to place,,evt116arg02origin,,,
movement.transportperson.fall,Artifact fell from place to <arg3> place,,,evt116arg03destination,,
movement.transportperson.grantentryasylum,<arg1> grants entry to transporter transporting passenger from place to place,evt117arg01granter,,,,
movement.transportperson.grantentryasylum,Granter grants entry to <arg2> transporting passenger from place to place,,evt117arg02transporter,,,
movement.transportperson.grantentryasylum,Granter grants entry to transporter transporting <arg3> from place to place,,,evt117arg03passenger,,
movement.transportperson.grantentryasylum,Granter grants entry to transporter transporting passenger from <arg4> place to place,,,,evt117arg04origin,
movement.transportperson.grantentryasylum,Granter grants entry to transporter transporting passenger from place to <arg5> place,,,,,evt117arg05destination
movement.transportperson.hide,<arg1> concealed  artifact in place transported in vehicle from place,evt118arg01transporter,,,,
movement.transportperson.hide,Transporter concealed <arg2> in place transported in vehicle from place,,evt118arg02passenger,,,
movement.transportperson.hide,Transporter concealed artifact in <arg3> place transported in vehicle from place,,,evt118arg03hidingplace,,
movement.transportperson.hide,Transporter concealed artifact in place transported in <arg4> vehicle from place,,,,evt118arg04vehicle,
movement.transportperson.hide,Transporter concealed artifact in place transported in vehicle from <arg5> place,,,,,evt118arg05origin
movement.transportperson.prevententry,<arg1> prevents transporter from transporting artifact from place to place,evt119arg01preventer,,,,
movement.transportperson.prevententry,Preventer prevents <arg2> from transporting artifact from place to place,,evt119arg02transporter,,,
movement.transportperson.prevententry,Preventer prevents transporter from transporting <arg3> from place to place,,,evt119arg03passenger,,
movement.transportperson.prevententry,Preventer prevents transporter from transporting artifact from <arg4> place to place,,,,evt119arg04origin,
movement.transportperson.prevententry,Preventer prevents transporter from transporting artifact from place to <arg5> place,,,,,evt119arg05destination
movement.transportperson.preventexit,<arg1> prevents transporter from transporting artifact from place to place,evt120arg01preventer,,,,
movement.transportperson.preventexit,Preventer prevents <arg2> from transporting artifact from place to place,,evt120arg02transporter,,,
movement.transportperson.preventexit,Preventer prevents transporter from transporting <arg3> from place to place,,,evt120arg03passenger,,
movement.transportperson.preventexit,Preventer prevents transporter from transporting artifact from <arg4> place to place,,,,evt120arg04origin,
movement.transportperson.preventexit,Preventer prevents transporter from transporting artifact from place to <arg5> place,,,,,evt120arg05destination
movement.transportperson.selfmotion,<arg1> moved in vehicle from place to place,evt121arg01transporter,,,,
movement.transportperson.selfmotion,Transporter moved in <arg2> from place to place,,evt121arg02vehicle,,,
movement.transportperson.selfmotion,Transporter moved in vehicle from <arg3> place to place,,,evt121arg03origin,,
movement.transportperson.selfmotion,Transporter moved in vehicle from place to <arg4> place,,,,evt121arg04destination,
movement.transportperson.smuggleextract,<arg1> transported passenger in vehicle from place to place,evt122arg01transporter,,,,
movement.transportperson.smuggleextract,Transporter transported <arg2> in vehicle from place to place,,evt122arg02passenger,,,
movement.transportperson.smuggleextract,Transporter transported passenger in <arg3> from place to place,,,evt122arg03vehicle,,
movement.transportperson.smuggleextract,Transporter transported passenger in vehicle from <arg4> place to place,,,,evt122arg04origin,
movement.transportperson.smuggleextract,Transporter transported passenger in vehicle from place to <arg5> place,,,,,evt122arg05destination
personnel.elect.unspecified,<arg1> elected candidate in place,evt123arg01voter,,,,
personnel.elect.unspecified,Voter elected <arg2> in place,,evt123arg02candidate,,,
personnel.elect.unspecified,Voter elected candidate in <arg3> place,,,evt123arg03place,,
personnel.elect.winelection,<arg1> elected candidate in place,evt124arg01voter,,,,
personnel.elect.winelection,Voter elected <arg2> in place,,evt124arg02candidate,,,
personnel.elect.winelection,Voter elected candidate in <arg3> place,,,evt124arg03place,,
personnel.endposition.unspecified,<arg1> stopped working at place of employment in place,evt125arg01employee,,,,
personnel.endposition.unspecified,Employee stopped working at <arg2> in place,,evt125arg02placeofemployment,,,
personnel.endposition.unspecified,Employee stopped working at place of employment in <arg3> place,,,evt125arg03place,,
personnel.endposition.firinglayoff,<arg1> stopped working at place of employment in place,evt126arg01employee,,,,
personnel.endposition.firinglayoff,Employee stopped working at <arg2> in place,,evt126arg02placeofemployment,,,
personnel.endposition.firinglayoff,Employee stopped working at place of employment in <arg3> place,,,evt126arg03place,,
personnel.endposition.quitretire,<arg1> stopped working at place of employment in place,evt127arg01employee,,,,
personnel.endposition.quitretire,Employee stopped working at <arg2> in place,,evt127arg02placeofemployment,,,
personnel.endposition.quitretire,Employee stopped working at place of employment in <arg3> place,,,evt127arg03place,,
personnel.startposition.unspecified,<arg1> started working at place of employment in place,evt128arg01employee,,,,
personnel.startposition.unspecified,Employee started working at <arg2> in place,,evt128arg02placeofemployment,,,
personnel.startposition.unspecified,Employee started working at place of employment in <arg3> place,,,evt128arg03place,,
personnel.startposition.hiring,<arg1> started working at place of employment in place,evt129arg01employee,,,,
personnel.startposition.hiring,Employee started working at <arg2> in place,,evt129arg02placeofemployment,,,
personnel.startposition.hiring,Employee started working at place of employment in <arg3> place,,,evt129arg03place,,
transaction.transaction.unspecified,A transaction occurred between <arg1> and participant for the benefit of beneficiary at place,evt130arg01participant,,,,
transaction.transaction.unspecified,A transaction occurred between participant and <arg2> for the benefit of beneficiary at place,,evt130arg02participant,,,
transaction.transaction.unspecified,A transaction occurred between participant and participant for the benefit of <arg3> at place,,,evt130arg03beneficiary,,
transaction.transaction.unspecified,A transaction occurred between participant and participant for the benefit of beneficiary at <arg4> place,,,,evt130arg04place,
transaction.transaction.embargosanction,<arg1> prevented giver from giving artifact money to recipient at place,evt131arg01preventer,,,,
transaction.transaction.embargosanction,Preventer prevented <arg2> from giving artifact money to recipient at place,,evt131arg02giver,,,
transaction.transaction.embargosanction,Preventer prevented giver from giving artifact money to <arg3> at place,,,evt131arg03recipient,,
transaction.transaction.embargosanction,Preventer prevented giver from giving <arg4> to recipient at place,,,,evt131arg04artifactmoney,
transaction.transaction.embargosanction,Preventer prevented giver from giving artifact money to recipient at <arg5> place,,,,,evt131arg05place
transaction.transaction.giftgrantprovideaid,<arg1> gave something to recipient for the benefit of beneficiary at place,evt132arg01giver,,,,
transaction.transaction.giftgrantprovideaid,Giver gave something to <arg2> for the benefit of beneficiary at place,,evt132arg02recipient,,,
transaction.transaction.giftgrantprovideaid,Giver gave something to recipient for the benefit of <arg3> at place,,,evt132arg03beneficiary,,
transaction.transaction.giftgrantprovideaid,Giver gave something to recipient for the benefit of beneficiary at <arg4> place,,,,evt132arg04place,
transaction.transfermoney.unspecified,<arg1> gave money to recipient for the benefit of beneficiary at place,evt133arg01giver,,,,
transaction.transfermoney.unspecified,Giver gave money to <arg2> for the benefit of beneficiary at place,,evt133arg02recipient,,,
transaction.transfermoney.unspecified,Giver gave money to recipient for the benefit of <arg3> at place,,,evt133arg03beneficiary,,
transaction.transfermoney.unspecified,Giver gave <arg4> money to recipient for the benefit of beneficiary at place,,,,evt133arg04money,
transaction.transfermoney.unspecified,Giver gave money to recipient for the benefit of beneficiary at <arg5> place,,,,,evt133arg05place
transaction.transfermoney.borrowlend,<arg1> gave money to recipient for the benefit of beneficiary at place,evt134arg01giver,,,,
transaction.transfermoney.borrowlend,Giver gave money to <arg2> for the benefit of beneficiary at place,,evt134arg02recipient,,,
transaction.transfermoney.borrowlend,Giver gave money to recipient for the benefit of <arg3> at place,,,evt134arg03beneficiary,,
transaction.transfermoney.borrowlend,Giver gave <arg4> money to recipient for the benefit of beneficiary at place,,,,evt134arg04money,
transaction.transfermoney.borrowlend,Giver gave money to recipient for the benefit of beneficiary at <arg5> place,,,,,evt134arg05place
transaction.transfermoney.embargosanction,<arg1> prevented giver from giving artifact money to recipient at place,evt135arg01preventer,,,,
transaction.transfermoney.embargosanction,Preventer prevented <arg2> from giving artifact money to recipient at place,,evt135arg02giver,,,
transaction.transfermoney.embargosanction,Preventer prevented giver from giving artifact money to <arg3> at place,,,evt135arg03recipient,,
transaction.transfermoney.embargosanction,Preventer prevented giver from giving <arg4> to recipient at place,,,,evt135arg04money,
transaction.transfermoney.embargosanction,Preventer prevented giver from giving artifact money to recipient at <arg5> place,,,,,evt135arg05place
transaction.transfermoney.giftgrantprovideaid,<arg1> gave money to recipient for the benefit of beneficiary at place,evt136arg01giver,,,,
transaction.transfermoney.giftgrantprovideaid,Giver gave money to <arg2> for the benefit of beneficiary at place,,evt136arg02recipient,,,
transaction.transfermoney.giftgrantprovideaid,Giver gave money to recipient for the benefit of <arg3> at place,,,evt136arg03beneficiary,,
transaction.transfermoney.giftgrantprovideaid,Giver gave <arg4> money to recipient for the benefit of beneficiary at place,,,,evt136arg04money,
transaction.transfermoney.giftgrantprovideaid,Giver gave money to recipient for the benefit of beneficiary at <arg5> place,,,,,evt136arg05place
transaction.transfermoney.payforservice,<arg1> gave money to recipient for the benefit of beneficiary at place,evt137arg01giver,,,,
transaction.transfermoney.payforservice,Giver gave money to <arg2> for the benefit of beneficiary at place,,evt137arg02recipient,,,
transaction.transfermoney.payforservice,Giver gave money to recipient for the benefit of <arg3> at place,,,evt137arg03beneficiary,,
transaction.transfermoney.payforservice,Giver gave <arg4> money to recipient for the benefit of beneficiary at place,,,,evt137arg04money,
transaction.transfermoney.payforservice,Giver gave money to recipient for the benefit of beneficiary at <arg5> place,,,,,evt137arg05place
